team,avg_defensive_z,avg_midfield_z,avg_forward_z,matches_included,season_overall_z,season_std,std_z_score
Leicester City,0.2340812977023192,0.733582663775296,0.4612631916271057,27,0.49570466340634695,0.5035471661670406,1.4214357083117415
Crystal Palace,0.27676241524894013,0.31910880841278877,0.5164605501562547,36,0.43732437263291124,0.3898015538465346,-0.09895573060691365
Sunderland,0.8052641045417155,0.02372068390897393,0.0878534297187287,26,0.323024757100597,0.611880018167404,2.8694769766719497
West Ham United,0.11509835753685523,0.2847227003028823,0.38345679062325944,36,0.295521472116122,0.4364784714566635,0.5249556843633979
Norwich City,0.3771951209178839,0.1477645812979052,0.2188007896579936,36,0.22853954484745062,0.36636414087701275,-0.41223411825016126
West Bromwich Albion,0.37320631733282345,0.1530837276990915,0.19220844617730223,30,0.19355014516629804,0.4178438128694476,0.27587376546403136
AFC Bournemouth,-0.04338268492588756,-0.07749030259742845,0.33149858647332664,38,0.005279586202783258,0.28838113711932356,-1.4546012819194458
Newcastle United,-0.16203647731826354,0.1824252068989042,0.22568766206521504,37,-0.003460433079524297,0.3221147085457694,-1.0036983226351608
Everton,0.18413038367322274,-0.4091833600852085,-0.19586658288607625,38,-0.02293796480048903,0.36697452982973344,-0.4040752968310799
Southampton,0.17311215708677502,-0.007179960146148395,-0.10352143356725374,37,-0.05530686210019169,0.3949155279592919,-0.030599314027263836
Chelsea,-0.14295474904353225,0.00554577558825719,0.06268492266651036,38,-0.05787058101238154,0.39397530584914486,-0.043166881406668536
Watford,-0.05414222109095658,-0.056794693780679674,-0.24653716130083878,35,-0.06312243612379956,0.36024702649464063,-0.4939991037129725
Tottenham Hotspur,-0.1346151829258949,-0.08390534006868676,0.011100355049648528,38,-0.09296151516074465,0.2809705998715,-1.553654925919633
Aston Villa,-0.10973932746722227,-0.12866099804697775,0.08754914011448423,38,-0.10689266005096516,0.4357250241956816,0.5148846605946233
Arsenal,-0.3582998857368869,0.17758656083885366,-0.08208549869874006,38,-0.12880439496762913,0.3834096256992231,-0.18439404013899538
Stoke City,-0.03914514108870561,-0.4343171999222297,0.005787534389884318,37,-0.1408298787964268,0.3762729014964004,-0.27978773628721176
Liverpool,-0.2559464739137954,0.1300446490953557,-0.1868775846484158,38,-0.14143480528457508,0.38836865479025523,-0.1181087107839697
Manchester United,-0.07134492641583956,-0.21832324290134816,-0.13533677693161436,38,-0.16103128742617887,0.3546912045353529,-0.5682615211436841
Swansea City,-0.4337754624145286,-0.23999757289952264,-0.07041051259029832,38,-0.275638034310667,0.48931209280697924,1.2311612596760237
Manchester City,-0.28910441824112215,-0.4604007831195921,-0.6225179121207933,38,-0.4201093817774974,0.3828218146848721,-0.19225107141861209
